visited_states,solution_length
657331,54
60882,44
196879,48
249795,50
405335,54
98199,54
28116,52
62227,40
906921,56
1633169,60
696060,54
6308,42
212508,50
656055,54
2889299,60
84236,46
6504,44
7484064,64
1172252,54
236382,50
